                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3516,                  3.403,                 1.7137,                0.00455,                0.86988,                0.29178,                0.17974,                 1.2159,                 3.7071,                 1.8208,              0.0002858,              0.0002858,              0.0002858
                      2,                 1.1751,                 2.7286,                 1.5627,                0.52618,                0.27744,                0.22785,                0.17693,                 1.0416,                 3.1104,                 1.5539,             0.00039255,             0.00039255,             0.00039255
                      3,                 1.0821,                  2.363,                 1.4649,                0.46316,                0.46334,                0.42076,                0.28314,                0.91139,                 2.6854,                 1.4009,             0.00030123,             0.00030123,             0.00030123
